orf_id	Gene_Name	TF_domains	scer_ortholog
CNAG_06751	HLH3	Helix-loop-helix DNA-binding domain	
CNAG_04841	FZC43	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03212	HCM101	"Winged helix" DNA-binding domain	
CNAG_01626	ADA2	Zinc finger, ZZ type / Myb-like DNA-binding domain / SWIRM domain	ADA2
CNAG_03894	PDR802	Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_02066	FZC13	Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_06818	HAP1	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_05940	ZFC3	C2H2-type zinc finger	
CNAG_01948	FZC36	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_04804	SRE1	Helix-loop-helix DNA-binding domain	
CNAG_04352	ZAP103	Zinc-finger double domain / C2H2-type zinc finger	
CNAG_03768	FZC32	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_01977	FZC39	Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_04895	FZC3	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_04583	DDT1	WSTF, HB1, Itc1p, MBD9 motif 2/3 / DDT domain	
CNAG_01973	ZFC2	Zinc-finger double domain / C2H2-type zinc finger / Fungal specific transcription factor domain	
CNAG_02603	ZFC1	Fungal specific transcription factor domain / C2H2-type zinc finger	
CNAG_04036	HSF3	"Winged helix" DNA-binding domain / HSF-type DNA-binding	
CNAG_06156	FZC7	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03431	FZC48	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_07922	FZC4	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_00031	MLR1	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03018	ASG101	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_04263	BZP2	Glucocorticoid receptor-like (DNA-binding domain) / Basic region leucine zipper / bZIP transcription factor / GATA zinc finger	
CNAG_01708	GAT7	GATA zinc finger	
CNAG_00332	SIP4	Fungal Zn(2)-Cys(6) binuclear cluster domain	SIP4
CNAG_07724	CUF1	Copper fist DNA binding domain	CUP2
CNAG_03902	RDS2	Fungal Zn(2)-Cys(6) binuclear cluster domain/PAS fold	RDS2
CNAG_03366	ZNF2	Zinc-finger double domain / C2H2-type zinc finger	
CNAG_05222	NRG1	C2H2-type zinc finger / Zinc-finger double domain	NRG1
CNAG_05049	PIP201	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_02516	HLH5	Helix-loop-helix DNA-binding domain	
CNAG_04774	FZC26	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03059	FZC9	Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_00193	GAT1	Glucocorticoid receptor-like (DNA-binding domain) / GATA zinc finger	
CNAG_03336	FZC50	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03086	FZC20	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03229	YOX101	Homeobox domain / Homeobox KN domain	
CNAG_01841	GLN3	Glucocorticoid receptor-like (DNA-binding domain) / GATA zinc finger	
CNAG_02476	YRM101	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_05153	GAT5	Glucocorticoid receptor-like (DNA-binding domain) / GATA zinc finger / AT hook motif	
CNAG_02700	ZFC8	C2H2-type zinc finger	
CNAG_04586	HOB7	Homeobox domain	
CNAG_02723	FZC23	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_03741	FZC31	Fungal Zn(2)-Cys(6) binuclear cluster domain / AT hook motif	
CNAG_04457	FZC30	Fungal Zn(2)-Cys(6) binuclear cluster domain / AT hook motif	
CNAG_06283	LIV4	Homeodomain-like	
CNAG_07411	RUM1	C5HC2 zinc finger / PHD-finger / ARID/BRIGHT DNA binding	
CNAG_04836	FZC10	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_00841	FZC40	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_06223	MIZ1	MIZ/SP-RING zinc finger	
CNAG_00830	FZC38	Fungal Zn(2)-Cys(6) binuclear cluster domain / Fungal specific transcription factor domain	
CNAG_01551	GAT201	Glucocorticoid receptor-like (DNA-binding domain) / GATA zinc finger	
CNAG_04908	CLR4	bZIP transcription factor / Basic region leucine zipper	
CNAG_00883		Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_01317		Helix-loop-helix DNA-binding domain	CBF1
CNAG_02134		SWIRM domain / Zinc finger, ZZ type / Myb-like DNA-binding domain / GATA Zinc finger	RSC8
CNAG_02671		Myb-like DNA-binding domain	CEF1
CNAG_02698		SGT1 protein	
CNAG_02936		CCR4-Not complex component, Not1 // RNA polymerase Rpb3/Rpb11 dimerization domain	CDC39
CNAG_03129		Zinc finger, C2H2 type	PZF1
CNAG_03261		Zinc finger, C2H2 type	
CNAG_03790		APSES domain	
CNAG_03826		Zinc finger, C2H2 type // MOZ/SAS family // M protein trans acting positive regulator (MGA) HTH domain	ESA1
CNAG_04023		Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_04130		Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_04226		SART-1 family	SNU66
CNAG_04600		Toprim domain / DNA topoisomerase / GRF zinc finger / Zinc knuckle 	TOP3
CNAG_04798		bZIP transcription factor / Basic region leucine zipper	
CNAG_04864	CIR1	Glucocorticoid receptor-like (DNA-binding domain) / GATA zinc finger	
CNAG_05311		Zinc finger, C2H2 type	
CNAG_05436		helix-turn-helix, Psq domain / DDE superfamily endonuclease	
CNAG_05535		"Winged helix" DNA-binding domain / FHA domain / Fork head domain	FHL1
CNAG_06097		Fungal specific transcription factor domain / Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_06252		Fungal specific transcription factor domain / Fungal Zn(2)-Cys(6) binuclear cluster domain	
CNAG_06327		Zinc finger, C2H2 type / Zinc-finger double domain	MIG1
CNAG_07460		"Winged helix" DNA-binding domain / HSF-type DNA-binding	HSF1
