orf_id	Domain	Gene_Name	scer_ortholog
CNAG_01845	AGC/PKC protein kinase  		PKC1
CNAG_01907	PLK/PLK1 protein kinase  		CDC5
CNAG_02007	ADK, ADK_lid	ADK1	ADK1
CNAG_02028	Pkinase		SKY1
CNAG_02194	Pkinase		DBF20
CNAG_02202	APS_kinase		MET14
CNAG_02285	nucleoside diphosphate kinase  		YNK1
CNAG_02459	ABC1 family		COQ8
CNAG_02686	GHMP kinases N terminal Domain		STR3
CNAG_02787	Dephospho-CoA kinase		CAB5
CNAG_02847	Thymidylate kinase		CDC8
CNAG_02866	panK_eukar: pantothenate kinase		CAB1
CNAG_02897	Inositol polyphosphate kinase		KCS1
CNAG_02915	Pkinase	PKH202	PKH1
CNAG_02962	Pkinase		YAK1
CNAG_02976	riboflavin kinase  		FMN1
CNAG_03137	Protein tyrosine kinase, Protein kinase domain	PHO8501	PHO85
CNAG_03171	Protein kinase domain, Protein tyrosine kinase		SWE1
CNAG_03358	PGK		PGK1
CNAG_03701	arom polypeptide		ARO1
CNAG_03791	Protein tyrosine kinase, Protein kinase domain		SAK1
CNAG_03796	Pkinase	ENV7 	ENV7 
CNAG_03821	PI3_PI4_kinase, PI3Ka, PI3K_C2		VPS34
CNAG_04083			SEC59
CNAG_04118	Pkinase		CTK1
CNAG_04148	Pkinase		KIN3
CNAG_04156	GHMP kinase_N		THR1
CNAG_04191	No Protein Domains Found	CEX1	CEX1
CNAG_04272	Lipopolysaccharide kinase (Kdo/WaaP) family, Kinase-like, Protein tyrosine kinase, Protein kinase domain	CMK2	CMK1
CNAG_04314	NAD_kinase	YEF1	YEF1
CNAG_04335	Phosphoinositide 3-kinase family, accessory domain (PIK domain), Phosphatidylinositol 3- and 4-kinase		STT4
CNAG_04347	ACT domain, asp_kinases: aspartate kinase, Amino acid kinase family		HOM3 
CNAG_04577	NDK		N/O
CNAG_04843	ABC1 family		MCP2 
CNAG_05104	Protein kinase domain, Protein tyrosine kinase, Kinase-like	FRK101	FRK1
CNAG_05125	GHMP kinases N terminal domain, mevDPdecarb: diphosphomevalonate 		MVD1
CNAG_05200	Phos_pyr_kinase	BUD16	BUD16
CNAG_05274	Pkinase		KIC1
CNAG_05386	Amino acid kinase family, proB: glutamate 5-k, PUA domain	PRO1	PRO1
CNAG_05484	Protein kinase domain, Protein tyrosine kinase, Kinase-like		TOS3
CNAG_05549	Protein kinase domain , Protein tyrosine kinase		CTK1/SGV1
CNAG_05935	UMP-CMP kinase family, Thymidylate kinase, Adenylate kinase, AAA domain		URA6
CNAG_05970	Protein tyrosine kinase, Protein kinase domain, P21-Rho binding 		STE20
CNAG_06001	GHMP kinases N, GHMP kinases C		ERG8
CNAG_06174	Pkinase		GCN2 
CNAG_06432	Acetokinase family, ackA		N/O
CNAG_06445	Pkinase		KIN28 
CNAG_06454	RIO1 family		RIO1
CNAG_06489	pfkB family carbohydrate kinase		ADO1
CNAG_06490	Pkinase	SNF102	SNF1
CNAG_06500	Inositol polyphosphate kinase		ARG82
CNAG_06642	PI3_PI4_kinase		TOR2
CNAG_06845	Protein kinase domain, Protein tyrosine kinase		CDC15
CNAG_07372	Histidine phosphatase superfamily (branch 1), 6-phosphofructo-2-kinase	OXK1	YLR345W
CNAG_07377	Phosphatidylinositol 3- and 4-kinase, FAT domain		TRA1
CNAG_07408	Pkinase		CLA4
CNAG_07427	Protein tyrosine kinase, Protein kinase domain	CCK2	HRR25
CNAG_00388			MSS4
CNAG_00683			KNS1
CNAG_00877			ADK2
CNAG_01250			TRL1
CNAG_01285			IPL1
CNAG_01364			GUK1
CNAG_01664			CDC28
CNAG_01687			RIO2
CNAG_01820			CDC19
CNAG_01845			PKC1
CNAG_01907			CDC5
CNAG_02028			SKY1
CNAG_02194			DBF20
CNAG_02202			MET14
CNAG_02285			YNK1
CNAG_02459			COQ8
CNAG_02686			STR3
CNAG_02787			CAB5
CNAG_02847			CDC8
CNAG_02866			CAB1
CNAG_02897			KCS1
CNAG_02962			YAK1
CNAG_02976			FMN1
CNAG_03171			SWE1
CNAG_03358			PGK1
CNAG_03701			ARO1
CNAG_03791			SAK1
CNAG_03821			VPS34
CNAG_04083			SEC59
CNAG_04118			CTK1
CNAG_04148			KIN3
CNAG_04156			THR1
CNAG_04335			STT4
CNAG_04347			HOM3 
CNAG_04577			-
CNAG_04843			MCP2 
CNAG_05125			MVD1
CNAG_05274			KIC1
CNAG_05484			TOS3
CNAG_05549			CTK1/SGV1
CNAG_05935			URA6
CNAG_05970			STE20
CNAG_06001			ERG8
CNAG_06174			GCN2 
CNAG_06432			-
CNAG_06445			KIN28 
CNAG_06454			RIO1
CNAG_06489			ADO1
CNAG_06500			ARG82
CNAG_06642			TOR2
CNAG_06845			CDC15
CNAG_07377			TRA1
CNAG_07408			CLA4
CNAG_07427			HRR25
CNAG_00636			CDC7
