cneo_orf_id	scer_oln_id	reliability_class
CNAG_03091	YGR213C	1
CNAG_05619	YBR155W	1
CNAG_05573	YLL009C	1
CNAG_01307	YDL072C	1
CNAG_06670	YNL286W	1
CNAG_00666	YJL041W	1
CNAG_00681	YDR325W	1
CNAG_01397	YNR017W	1
CNAG_00757	YDR069C	1
CNAG_00469	YHR181W	1
CNAG_02861	YFR025C	1
CNAG_01502	YKL039W	1
CNAG_04293	YDR080W	1
CNAG_03918	YOR353C	1
CNAG_03518	YDR538W	1
CNAG_01159	YDR088C	1
CNAG_00707	YLR251W	1
CNAG_01343	YBR227C	1
CNAG_05124	YOR165W	1
CNAG_03291	YDR517W	1
CNAG_05602	YHR037W	1
CNAG_01288	YBR192W	1
CNAG_03274	YNL003C	1
CNAG_00034	YNL067W	1
CNAG_06153	YOR117W	1
CNAG_01863	YOR290C	1
CNAG_01333	YGL021W	1
CNAG_03138	YGR003W	1
CNAG_05222	YDR043C	1
CNAG_06656	YLR172C	1
CNAG_01469	YER026C	1
CNAG_03962	YGL201C	1
CNAG_01390	YML022W	1
CNAG_01813	YDL055C	1
CNAG_01928	YLL029W	1
CNAG_01148	YML074C	1
CNAG_01316	YNL312W	1
CNAG_05004	YLR289W	1
CNAG_03776	YBR030W	1
CNAG_02709	YNR037C	1
CNAG_04487	YCL055W	1
CNAG_00288	YLR059C	1
CNAG_04728	YKL144C	1
CNAG_07778	YJR007W	1
CNAG_02404	YOR198C	1
CNAG_07796	YKR069W	1
CNAG_01044	YBR183W	1
CNAG_05486	YPL125W	1
CNAG_07349	YPR147C	1
CNAG_04806	YDR372C	1
CNAG_05119	YKL174C	1
CNAG_03314	YDR374C	1
CNAG_05826	YDR172W	1
CNAG_01875	YJR033C	1
CNAG_02748	YKL035W	1
CNAG_07685	YCL038C	1
CNAG_01363	YJR072C	1
CNAG_06862	YNL326C	1
CNAG_03592	YOL055C	1
CNAG_06770	YKL060C	1
CNAG_04003	YLL013C	1
CNAG_05416	YAL032C	1
CNAG_02194	YPR111W	1
CNAG_01263	YJL012C	1
CNAG_05151	YKL099C	1
CNAG_05654	YMR063W	1
CNAG_05756	YFL046W	1
CNAG_01345	YHL004W	1
CNAG_05810	YJR055W	1
CNAG_04370	YJL109C	1
CNAG_04366	YPR170W-B	1
CNAG_01126	YDR170C	1
CNAG_04064	YMR002W	1
CNAG_07664	YNL026W	1
CNAG_02793	YBL098W	1
CNAG_03225	YKL085W	1
CNAG_06591	YKR029C	1
CNAG_02505	YGR110W	1
CNAG_00115	YJR159W	1
CNAG_02502	YGL078C	1
CNAG_07692	YER005W	1
CNAG_02257	YOR185C	1
CNAG_01373	YCR002C	1
CNAG_03300	YDR087C	1
CNAG_03994	YDR435C	1
CNAG_01808	YKL120W	1
CNAG_00541	YHR176W	1
CNAG_03540	YBL080C	1
CNAG_07546	YGL143C	1
CNAG_02487	YJL097W	1
CNAG_05909	YOR065W	1
CNAG_02239	YDL007W	1
CNAG_01630	YNL317W	1
CNAG_01610	YLR148W	1
CNAG_02079	YMR196W	1
CNAG_02306	YMR178W	1
CNAG_03706	YER133W	1
CNAG_05431	YHL027W	1
CNAG_04687	YGL055W	1
CNAG_05648	YFR018C	1
CNAG_01975	YFR038W	1
CNAG_02209	YLR197W	1
CNAG_05674	YOR307C	1
CNAG_00988	YLR347C	1
CNAG_02330	YBR191W	1
CNAG_01882	YDR440W	1
CNAG_00361	YDR388W	1
CNAG_05239	YKR074W	1
CNAG_01267	YIR042C	1
CNAG_01203	YIR026C	1
CNAG_07311	YLR015W	1
CNAG_03915	YHL026C	1
CNAG_02947	YGL083W	1
CNAG_06221	YKL191W	1
CNAG_04191	YOR112W	1
CNAG_01035	YOL038W	1
CNAG_04600	YLR234W	1
CNAG_06206	YLR276C	1
CNAG_03923	YDR386W	1
CNAG_02310	YOR039W	1
CNAG_04715	YJL002C	1
CNAG_03623	YMR226C	1
CNAG_02292	YMR038C	1
CNAG_01461	YMR034C	1
CNAG_03929	YML038C	1
CNAG_01565	YDL141W	1
CNAG_02094	YNR035C	1
CNAG_05555	YLL045C	1
CNAG_05761	YBR135W	1
CNAG_04080	YJR025C	1
CNAG_04519	YGL196W	1
CNAG_06468	YPL093W	1
CNAG_02122	YGL211W	1
CNAG_05283	YHR002W	1
CNAG_01715	YPL217C	1
CNAG_01590	YCR003W	1
CNAG_06566	YMR027W	1
CNAG_03805	YDL128W	1
CNAG_00986	YHR111W	1
CNAG_05783	YPR086W	1
CNAG_05750	YBL099W	1
CNAG_03855	YJR013W	1
CNAG_02326	YDL185W	1
CNAG_01489	YJL218W	1
CNAG_00582	YER072W	1
CNAG_06048	YGL161C	1
CNAG_07465	YJL011C	1
CNAG_00311	YDR036C	1
CNAG_04460	YMR033W	1
CNAG_07724	YPR008W	1
CNAG_01298	YML059C	1
CNAG_01273	YNL255C	1
CNAG_02221	YOR079C	1
CNAG_05504	YOR126C	1
CNAG_05070	YJR137C	1
CNAG_05899	YER023W	1
CNAG_05374	YMR078C	1
CNAG_02354	YEL050C	1
CNAG_04976	YGR285C	1
CNAG_04026	YPL008W	1
CNAG_03819	YML008C	1
CNAG_06219	YPL003W	1
CNAG_06645	YKR080W	1
CNAG_05282	YIL048W	1
CNAG_03349	YDR364C	1
CNAG_02680	YBR097W	1
CNAG_06359	YLR270W	1
CNAG_05470	YOL075C	1
CNAG_04652	YNL134C	1
CNAG_05752	YPR141C	1
CNAG_03761	YMR061W	1
CNAG_05881	YNL219C	1
CNAG_06825	YOL107W	1
CNAG_05719	YDR198C	1
CNAG_04269	YDR415C	1
CNAG_03167	YBR274W	1
CNAG_03950	YGR116W	1
CNAG_03718	YKL134C	1
CNAG_01378	YJR117W	1
CNAG_03287	YHL031C	1
CNAG_01957	YFR050C	1
CNAG_03891	YLR259C	1
CNAG_04828	YBR010W	1
CNAG_04828	YNL031C	1
CNAG_02173	YOR115C	1
CNAG_01357	YNL053W	1
CNAG_00874	YBL024W	1
CNAG_02798	YKL033W-A	1
CNAG_04044	YDR449C	1
CNAG_05097	YKL151C	1
CNAG_01428	YJR047C	1
CNAG_01089	YDR493W	1
CNAG_02862	YOR258W	1
CNAG_03100	YLR114C	1
CNAG_02825	YHR018C	1
CNAG_02657	YDR429C	1
CNAG_02166	YDL140C	1
CNAG_05627	YFL002C	1
CNAG_01377	YGL094C	1
CNAG_06997	YLR401C	1
CNAG_04832	YPL115C	1
CNAG_06365	YDR411C	1
CNAG_04872	YOR271C	1
CNAG_04330	YDR034C	1
CNAG_06847	YOR167C	1
CNAG_03956	YBR087W	1
CNAG_07909	YER179W	1
CNAG_02563	YDL102W	1
CNAG_00354	YEL013W	1
CNAG_01152	YPL090C	1
CNAG_02702	YJR040W	1
CNAG_06056	YJR111C	1
CNAG_06437	YCL057C-A	1
CNAG_02545	YBR011C	1
CNAG_00993	YOR125C	1
CNAG_06120	YDL142C	1
CNAG_04958	YGR048W	1
CNAG_01850	YIL147C	1
CNAG_00764	YJL033W	1
CNAG_05794	YFL034C-B	1
CNAG_02126	YIL156W-B	1
CNAG_06908	YNL333W	1
CNAG_07720	YKR065C	1
CNAG_05866	YNL279W	1
CNAG_01941	YGR229C	1
CNAG_05769	YPL199C	1
CNAG_04795	YPR128C	1
CNAG_01529	YPR011C	1
CNAG_00239	YHL009C	1
CNAG_03308	YIL140W	1
CNAG_01195	YOR291W	1
CNAG_02445	YEL058W	1
CNAG_05538	YNL227C	1
CNAG_02198	YNR020C	1
CNAG_05135	YGL167C	1
CNAG_04387	YPR082C	1
CNAG_02493	YOR049C	1
CNAG_04318	YGR099W	1
CNAG_03388	YMR075W	1
CNAG_05140	YGL125W	1
CNAG_06558	YPR048W	1
CNAG_02672	YHR170W	1
CNAG_02675	YKL101W	1
CNAG_05623	YGL148W	1
CNAG_06919	YDL014W	1
CNAG_03104	YJR074W	1
CNAG_06416	YHR028C	1
CNAG_06384	YNL250W	1
CNAG_06495	YGR276C	1
CNAG_05696	YBR082C	1
CNAG_03184	YGR188C	1
CNAG_02789	YEL062W	1
CNAG_02195	YML065W	1
CNAG_06049	YLR262C	1
CNAG_03296	YNL032W	1
CNAG_03159	YPL239W	1
CNAG_02202	YKL001C	1
CNAG_03459	YDL143W	1
CNAG_03646	YIL020C	1
CNAG_02291	YGR113W	1
CNAG_03792	YER168C	1
CNAG_07430	YPL181W	1
CNAG_00635	YLL032C	1
CNAG_05907	YBR218C	1
CNAG_05584	YJR024C	1
CNAG_07630	YNL075W	1
CNAG_05122	YNL277W	1
CNAG_02076	YNL045W	1
CNAG_01104	YDR083W	1
CNAG_03577	YLR340W	1
CNAG_05744	YHR063C	1
CNAG_04196	YDL029W	1
CNAG_04155	YOR159C	1
CNAG_02870	YOR241W	1
CNAG_04190	YOL006C	1
CNAG_07864	YHR148W	1
CNAG_07712	YPL015C	1
CNAG_05103	YGR005C	1
CNAG_05364	YGL183C	1
CNAG_02454	YNL124W	1
CNAG_00820	YNL316C	1
CNAG_03711	YBL020W	1
CNAG_04149	YDL116W	1
CNAG_01243	YHR119W	1
CNAG_01809	YDR473C	1
CNAG_03106	YDR322W	1
CNAG_02175	YGL173C	1
CNAG_00450	YCL018W	1
CNAG_03367	YNR012W	1
CNAG_01739	YMR119W	1
CNAG_01546	YNL063W	1
CNAG_02378	YDL208W	1
CNAG_07628	YMR309C	1
CNAG_02491	YDL105W	1
CNAG_07735	YIL091C	1
CNAG_01049	YHR072W-A	1
CNAG_05557	YLL006W	1
CNAG_04604	YOL097C	1
CNAG_04050	YLR147C	1
CNAG_02936	YCR093W	1
CNAG_02315	YEL024W	1
CNAG_01036	YPR176C	1
CNAG_07925	YKR095W	1
CNAG_05890	YJR086W	1
CNAG_04826	YPL273W	1
CNAG_03753	YPR183W	1
CNAG_01198	YPR182W	1
CNAG_03648	YOR336W	1
CNAG_01305	YGR264C	1
CNAG_06725	YJR006W	1
CNAG_05385	YNL041C	1
CNAG_04743	YEL002C	1
CNAG_00140	YIL061C	1
CNAG_06393	YPL122C	1
CNAG_02133	YHR163W	1
CNAG_01692	YPR066W	1
CNAG_03826	YOR244W	1
CNAG_03188	YJL168C	1
CNAG_05462	YKL150W	1
CNAG_01807	YMR080C	1
CNAG_03900	YIL034C	1
CNAG_06865	YOR252W	1
CNAG_02437	YMR229C	1
CNAG_02190	YBL059C-A	1
CNAG_05566	YBR231C	1
CNAG_06860	YOL034W	1
CNAG_04316	YJR049C	1
CNAG_00193	YFL021W	1
CNAG_01438	YLR182W	1
CNAG_02161	YLR410W	1
CNAG_01168	YLR175W	1
CNAG_06774	YDL201W	1
CNAG_02763	YLR060W	1
CNAG_06012	YIL043C	1
CNAG_07769	YDR457W	1
CNAG_06692	YFL017C	1
CNAG_00743	YBR248C	1
CNAG_04684	YPR181C	1
CNAG_07561	YGR256W	1
CNAG_06818	YLR256W	1
CNAG_01432	YCR072C	1
CNAG_02847	YJR057W	1
CNAG_05725	YLR355C	1
CNAG_05146	YGL070C	1
CNAG_04867	YJR054W	1
CNAG_06182	YPR019W	1
CNAG_07719	YKL145W	1
CNAG_05063	YNR031C	1
CNAG_00852	YOR311C	1
CNAG_06107	YNL006W	1
CNAG_06342	YPR180W	1
CNAG_02006	YJR062C	1
CNAG_00650	YDR326C	1
CNAG_04693	YOL078W	1
CNAG_03850	YBR081C	1
CNAG_03606	YAL035W	1
CNAG_06875	YJR152W	1
CNAG_01015	YOR238W	1
CNAG_02809	YLR316C	1
CNAG_04066	YIL051C	1
CNAG_03660	YJL046W	1
CNAG_02494	YGL203C	1
CNAG_06830	YCL030C	1
CNAG_02786	YNL256W	1
CNAG_07418	YLR128W	1
CNAG_03905	YKL160W	1
CNAG_01027	YBR006W	1
CNAG_04441	YER165W	1
CNAG_04332	YKL138C	1
CNAG_01823	YHR046C	1
CNAG_02907	YOL093W	1
CNAG_00996	YJR143C	1
CNAG_02959	YER145C	1
CNAG_05007	YLR291C	1
CNAG_07667	YCR008W	1
CNAG_04639	YNL272C	1
CNAG_05829	YHR077C	1
CNAG_06489	YJR105W	1
CNAG_04266	YNL107W	1
CNAG_07445	YPR074C	1
CNAG_04111	YKR044W	1
CNAG_05445	YOR035C	1
CNAG_06888	YBL104C	1
CNAG_02185	YNL022C	1
CNAG_04712	YLR348C	1
CNAG_03383	YGL232W	1
CNAG_01115	YLR454W	1
CNAG_05194	YOR196C	1
CNAG_02091	YKR048C	1
CNAG_00424	YGR202C	1
CNAG_04224	YLR019W	1
CNAG_05293	YKR058W	1
CNAG_04381	YLR005W	1
CNAG_07507	YCL032W	1
CNAG_02884	YJL072C	1
CNAG_06614	YPL206C	1
CNAG_03022	YGR163W	1
CNAG_07416	YGR195W	1
CNAG_00289	YJL127C	1
CNAG_02204	YJL208C	1
CNAG_01021	YER055C	1
CNAG_04407	YDR488C	1
CNAG_01480	YDR418W	1
CNAG_01402	YJR065C	1
CNAG_00804	YML121W	1
CNAG_07988	YLR318W	1
CNAG_04462	YLR097C	1
CNAG_05886	YGL087C	1
CNAG_07514	YEL022W	1
CNAG_01726	YGL207W	1
CNAG_01003	YHR042W	1
CNAG_05134	YLR438W	1
CNAG_01549	YDL030W	1
CNAG_02212	YBR079C	1
CNAG_03834	YDR297W	1
CNAG_01095	YNL320W	1
CNAG_06564	YJL207C	1
CNAG_05787	YAL043C	1
CNAG_03389	YLL057C	1
CNAG_01442	YCL017C	1
CNAG_06597	YLR055C	1
CNAG_02234	YLR448W	1
CNAG_05260	YMR250W	1
CNAG_00824	YGL058W	1
CNAG_07810	YKR016W	1
CNAG_01144	YAR007C	1
CNAG_06766	YML093W	1
CNAG_06905	YAL049C	1
CNAG_04367	YIL096C	1
CNAG_04521	YNR074C	1
CNAG_07403	YKL197C	1
CNAG_06839	YJR073C	1
CNAG_01309	YBR164C	1
CNAG_00774	YIL074C	1
CNAG_03321	YML097C	1
CNAG_03139	YGR157W	1
CNAG_04525	YLR088W	1
CNAG_06672	YOR388C	1
CNAG_01557	YBR109C	1
CNAG_07599	YNL082W	1
CNAG_07341	YOL147C	1
CNAG_05884	YER110C	1
CNAG_06640	YMR297W	1
CNAG_03356	YDR489W	1
CNAG_00811	YDR354W	1
CNAG_05226	YDR530C	1
CNAG_00274	YLR246W	1
CNAG_00006	YGR231C	1
CNAG_01391	YDR168W	1
CNAG_05615	YMR183C	1
CNAG_07636	YBL061C	1
CNAG_00512	YGL129C	1
CNAG_05020	YMR315W	1
CNAG_05771	YBL088C	1
CNAG_01315	YOR069W	1
CNAG_07676	YNL112W	1
CNAG_02873	YMR150C	1
CNAG_07347	YLL026W	1
CNAG_04136	YPR118W	1
CNAG_06845	YAR019C	1
CNAG_02034	YER159C	1
CNAG_03984	YGR203W	1
CNAG_07680	YOR358W	1
CNAG_03222	YKL149C	1
CNAG_05478	YKL002W	1
CNAG_05483	YLR200W	1
CNAG_03892	YOR020C	1
CNAG_07435	YGL237C	1
CNAG_04238	YNL202W	1
CNAG_07651	YDR194C	1
CNAG_01301	YHR090C	1
CNAG_01416	YOR021C	1
CNAG_05792	YGR135W	1
CNAG_04212	YFR011C	1
CNAG_00133	YMR039C	1
CNAG_07776	YFL001W	1
CNAG_03925	YMR035W	1
CNAG_00491	YPR067W	1
CNAG_03078	YCR026C	1
CNAG_05898	YBR213W	1
CNAG_06500	YDR173C	1
CNAG_02762	YPR020W	1
CNAG_05652	YBR056W	1
CNAG_00740	YBR289W	1
CNAG_02181	YDR541C	1
CNAG_02712	YGR262C	1
CNAG_02717	YPL088W	1
CNAG_00390	YJR110W	1
CNAG_01907	YMR001C	1
CNAG_05513	YML064C	1
CNAG_03403	YGR021W	1
CNAG_01018	YER025W	1
CNAG_05711	YCR090C	1
CNAG_05455	YMR260C	1
CNAG_02172	YGR184C	1
CNAG_00328	YGR258C	1
CNAG_07679	YGL043W	1
CNAG_02285	YKL067W	1
CNAG_06627	YKL012W	1
CNAG_05568	YOR111W	1
CNAG_06714	YML012W	1
CNAG_04866	YDL042C	1
CNAG_07372	YLR345W	1
CNAG_03221	YFR032C-A	1
CNAG_02868	YJR078W	1
CNAG_01208	YGR217W	1
CNAG_02357	YPL140C	1
CNAG_06630	YIL022W	1
CNAG_00178	YOR346W	1
CNAG_06890	YLR004C	1
CNAG_03899	YKL073W	1
CNAG_05554	YNL111C	1
CNAG_01664	YBR160W	1
CNAG_07529	YER086W	1
CNAG_01323	YDR529C	1
CNAG_06881	YLR022C	1
CNAG_06533	YCR011C	1
CNAG_00747	YGR244C	1
CNAG_04671	YDR414C	1
CNAG_05303	YER065C	1
CNAG_03482	YML028W	1
CNAG_03409	YHR206W	1
CNAG_04720	YGR100W	1
CNAG_01837	YJL154C	1
CNAG_06132	YHR044C	1
CNAG_03358	YCR012W	1
CNAG_01867	YJL112W	1
CNAG_01076	YGR019W	1
CNAG_05497	YJR016C	1
CNAG_06248	YMR012W	1
CNAG_01477	YDR062W	1
CNAG_00189	YPL123C	1
CNAG_01539	YJL153C	1
CNAG_02829	YBR133C	1
CNAG_03502	YFL050C	1
CNAG_04485	YOR317W	1
CNAG_04913	YLR026C	1
CNAG_00836	YNL274C	1
CNAG_05050	YDL226C	1
CNAG_04488	YBR159W	1
CNAG_05172	YMR109W	1
CNAG_04608	YIR022W	1
CNAG_05919	YHL023C	1
CNAG_00099	YEL032W	1
CNAG_00565	YKR001C	1
CNAG_02223	YBL017C	1
CNAG_02876	YKL184W	1
CNAG_05629	YLR277C	1
CNAG_06902	YJR092W	1
CNAG_02826	YJL071W	1
CNAG_03821	YLR240W	1
CNAG_01163	YGL163C	1
CNAG_07591	YKR087C	1
CNAG_07580	YBR061C	1
CNAG_02327	YFR006W	1
CNAG_03672	YDR472W	1
CNAG_06474	YOL123W	1
CNAG_02851	YEL046C	1
CNAG_04110	YNL229C	1
CNAG_00685	YDR243C	1
CNAG_01491	YGL242C	1
CNAG_06412	YGR271C-A	1
CNAG_02761	YBR106W	1
CNAG_03410	YIR035C	1
CNAG_04777	YOR239W	1
CNAG_01098	YHR085W	1
CNAG_01583	YLR025W	1
CNAG_05441	YOR059C	1
CNAG_00081	YBR055C	1
CNAG_05730	YLR118C	1
CNAG_04189	YKL148C	1
CNAG_04669	YGR046W	1
CNAG_06001	YMR220W	1
CNAG_03781	YJL019W	1
CNAG_07635	YIL144W	1
CNAG_07440	YOR269W	1
CNAG_07377	YHR099W	1
CNAG_01855	YBR147W	1
CNAG_06644	YMR015C	1
CNAG_01898	YKL021C	1
CNAG_00165	YLR017W	1
CNAG_01215	YGR174C	1
CNAG_00529	YPL092W	1
CNAG_07328	YDR495C	1
CNAG_06290	YLR081W	1
CNAG_05635	YCR046C	1
CNAG_01922	YOL001W	1
CNAG_00960	YER013W	1
CNAG_07537	YMR097C	1
CNAG_01257	YOR120W	1
CNAG_05195	YDL190C	1
CNAG_06151	YDL235C	1
CNAG_00750	YNL024C	1
CNAG_01818	YJL180C	1
CNAG_03293	YLR435W	1
CNAG_07535	YPL013C	1
CNAG_03670	YHR079C	1
CNAG_05753	YER069W	1
CNAG_03596	YDR148C	1
CNAG_06584	YMR155W	1
CNAG_02383	YPL157W	1
CNAG_01016	YDR128W	1
CNAG_04985	YHR193C	1
CNAG_04082	YHR020W	1
CNAG_00976	YOR303W	1
CNAG_05703	YDL240W	1
