term	gobpid	organism	query_lists_id	direction	p.adjusted	oddsratio	x_labels	Odds_Ratio_Score
acyl-CoA metabolic process	GO:0006637	C. neoformans	AMB only	Up	0.000244281340204989	5.38477157360406	C. neoformans AMB only	5.38477157360406
acyl-CoA metabolic process	GO:0006637	C. neoformans	AMB + LF	Up	0.00145585931154442	4.50760233918129	C. neoformans AMB + LF	4.50760233918129
ADP metabolic process	GO:0046031	C. neoformans	AMB only	Up	0.000157823813094767	5.7708484408992	C. neoformans AMB only	5.7708484408992
ADP metabolic process	GO:0046031	C. neoformans	AMB + LF	Up	0.000223142990500148	5.53508401587436	C. neoformans AMB + LF	5.53508401587436
aerobic respiration	GO:0009060	C. neoformans	AMB only	Up	0.0013000208299643	2.88029525032092	C. neoformans AMB only	2.88029525032092
aerobic respiration	GO:0009060	C. neoformans	AMB + LF	Up	0.000991628780832667	2.90471544715447	C. neoformans AMB + LF	2.90471544715447
age-dependent general metabolic decline	GO:0007571	C. neoformans	AMB + LF	Up	0.0111065786747518	9.79442634817228	C. neoformans AMB + LF	9.79442634817228
age-dependent response to oxidative stress	GO:0001306	C. neoformans	AMB + LF	Up	0.0111065786747518	9.79442634817228	C. neoformans AMB + LF	9.79442634817228
age-dependent response to reactive oxygen species	GO:0001315	C. neoformans	AMB only	Up	0.0354814603210166	8.32290362953692	C. neoformans AMB only	8.32290362953692
age-dependent response to reactive oxygen species	GO:0001315	C. neoformans	AMB + LF	Up	0.00173088857275352	29.3984799131379	C. neoformans AMB + LF	29.3984799131379
aging	GO:0007568	C. neoformans	AMB only	Up	0.0309914368881301	2.13215620696439	C. neoformans AMB only	2.13215620696439
alcohol biosynthetic process	GO:0046165	C. neoformans	AMB + LF	Down	0.0181247825536919	3.85884353741497	C. neoformans AMB + LF	-3.85884353741497
alcohol metabolic process	GO:0006066	C. neoformans	AMB only	Up	0.0482317889863446	1.80721624850657	C. neoformans AMB only	1.80721624850657
alcohol metabolic process	GO:0006066	C. neoformans	AMB + LF	Down	0.0141182322360046	3.13761812714777	C. neoformans AMB + LF	-3.13761812714777
aldehyde catabolic process	GO:0046185	C. neoformans	AMB only	Up	0.034235951741708	5.00125470514429	C. neoformans AMB only	5.00125470514429
aldehyde catabolic process	GO:0046185	C. neoformans	AMB + LF	Up	0.0249229181683921	5.59855072463768	C. neoformans AMB + LF	5.59855072463768
alditol biosynthetic process	GO:0019401	C. neoformans	AMB only	Up	0.00904377000827665	Inf	C. neoformans AMB only	Inf
alditol biosynthetic process	GO:0019401	C. neoformans	AMB + LF	Up	0.0189195586330104	Inf	C. neoformans AMB + LF	Inf
alditol metabolic process	GO:0019400	C. neoformans	AMB only	Up	0.000440228957566212	5.87911392405063	C. neoformans AMB only	5.87911392405063
alditol metabolic process	GO:0019400	C. neoformans	AMB + LF	Up	0.00769042107284449	4.21420765027322	C. neoformans AMB + LF	4.21420765027322
alditol phosphate metabolic process	GO:0052646	C. neoformans	AMB only	Up	0.00822008214454756	24.9812265331665	C. neoformans AMB only	24.9812265331665
aldonic acid metabolic process	GO:0019520	C. neoformans	AMB only	Up	0.0354814603210166	Inf	C. neoformans AMB only	Inf
allantoin catabolic process	GO:0000256	S. cerevisiae	AMB only	Up	0.0312339213092411	10.987061769616	S. cerevisiae AMB only	10.987061769616
allantoin metabolic process	GO:0000255	S. cerevisiae	AMB only	Up	0.0312339213092411	10.987061769616	S. cerevisiae AMB only	10.987061769616
alpha-amino acid biosynthetic process	GO:1901607	C. neoformans	AMB only	Up	0.0104691546133877	2.00601026880097	C. neoformans AMB only	2.00601026880097
alpha-amino acid biosynthetic process	GO:1901607	C. neoformans	AMB + LF	Down	0.0045480468971994	3.37368421052632	C. neoformans AMB + LF	-3.37368421052632
alpha-amino acid biosynthetic process	GO:1901607	S. cerevisiae	AMB only	Up	7.55234064934016e-20	6.23646345460505	S. cerevisiae AMB only	6.23646345460505
alpha-amino acid biosynthetic process	GO:1901607	S. cerevisiae	AMB + LF	Up	2.45936313210605e-26	8.27931975645602	S. cerevisiae AMB + LF	8.27931975645602
alpha-amino acid catabolic process	GO:1901606	C. neoformans	AMB only	Up	0.000639653659202936	3.54291187739464	C. neoformans AMB only	3.54291187739464
alpha-amino acid catabolic process	GO:1901606	S. cerevisiae	AMB only	Up	0.0209470360798953	2.56561861984483	S. cerevisiae AMB only	2.56561861984483
alpha-amino acid metabolic process	GO:1901605	C. neoformans	AMB only	Up	4.13041689837829e-05	2.29208194339275	C. neoformans AMB only	2.29208194339275
alpha-amino acid metabolic process	GO:1901605	S. cerevisiae	AMB only	Up	1.10836341555898e-14	3.68901055539114	S. cerevisiae AMB only	3.68901055539114
alpha-amino acid metabolic process	GO:1901605	S. cerevisiae	AMB + LF	Up	5.22059346431963e-19	4.55275454992622	S. cerevisiae AMB + LF	4.55275454992622
amide biosynthetic process	GO:0043604	S. cerevisiae	AMB + LF	Up	2.8442693213187e-12	2.04521959459459	S. cerevisiae AMB + LF	2.04521959459459
amide transport	GO:0042886	S. cerevisiae	AMB + LF	Down	0.00279558507297123	1.45960426856381	S. cerevisiae AMB + LF	-1.45960426856381
amine biosynthetic process	GO:0009309	S. cerevisiae	AMB + LF	Up	0.00187154710061924	13.8571428571429	S. cerevisiae AMB + LF	13.8571428571429
amine catabolic process	GO:0009310	C. neoformans	AMB only	Up	0.013932833229503	7.00526976160602	C. neoformans AMB only	7.00526976160602
amine metabolic process	GO:0009308	S. cerevisiae	AMB + LF	Up	0.000351507019239172	4.42113959306991	S. cerevisiae AMB + LF	4.42113959306991
amino acid activation	GO:0043038	S. cerevisiae	AMB + LF	Up	8.61957751460831e-06	5.45652604476134	S. cerevisiae AMB + LF	5.45652604476134
amino acid salvage	GO:0043102	S. cerevisiae	AMB only	Up	0.0379539363813732	6.59523809523809	S. cerevisiae AMB only	6.59523809523809
amino acid salvage	GO:0043102	S. cerevisiae	AMB + LF	Up	0.0144601103181447	8.89699570815451	S. cerevisiae AMB + LF	8.89699570815451
amino acid transmembrane export from vacuole	GO:0032974	S. cerevisiae	AMB only	Up	0.0136339711016929	Inf	S. cerevisiae AMB only	Inf
amino acid transmembrane transport	GO:0003333	S. cerevisiae	AMB only	Up	2.08033076484301e-05	4.86916868442292	S. cerevisiae AMB only	4.86916868442292
amino acid transmembrane transport	GO:0003333	S. cerevisiae	AMB + LF	Up	4.14680658383372e-09	7.9451778405488	S. cerevisiae AMB + LF	7.9451778405488
amino acid transport	GO:0006865	S. cerevisiae	AMB only	Up	7.69053144107392e-06	4.30415260454879	S. cerevisiae AMB only	4.30415260454879
amino acid transport	GO:0006865	S. cerevisiae	AMB + LF	Up	1.20027475753389e-07	5.43556531284303	S. cerevisiae AMB + LF	5.43556531284303
ammonia assimilation cycle	GO:0019676	S. cerevisiae	AMB + LF	Up	0.0315087936376821	Inf	S. cerevisiae AMB + LF	Inf
ammonium transmembrane transport	GO:0072488	S. cerevisiae	AMB only	Up	0.0024095723566958	7.34981838502375	S. cerevisiae AMB only	7.34981838502375
ammonium transmembrane transport	GO:0072488	S. cerevisiae	AMB + LF	Up	0.0456199407641514	4.6140350877193	S. cerevisiae AMB + LF	4.6140350877193
ammonium transport	GO:0015696	S. cerevisiae	AMB only	Up	0.000191743234772508	8.20888355342137	S. cerevisiae AMB only	8.20888355342137
ammonium transport	GO:0015696	S. cerevisiae	AMB + LF	Up	0.0133942352240414	4.86241315197182	S. cerevisiae AMB + LF	4.86241315197182
anatomical structure development	GO:0048856	S. cerevisiae	AMB only	Up	0.00309388919385558	1.78695869420386	S. cerevisiae AMB only	1.78695869420386
anatomical structure formation involved in morphogenesis	GO:0048646	S. cerevisiae	AMB only	Up	0.0127703970153201	1.73568702290076	S. cerevisiae AMB only	1.73568702290076
anatomical structure homeostasis	GO:0060249	S. cerevisiae	AMB only	Down	0.031885553522853	1.98062091048308	S. cerevisiae AMB only	-1.98062091048308
anatomical structure morphogenesis	GO:0009653	S. cerevisiae	AMB only	Up	0.00309388919385558	1.78695869420386	S. cerevisiae AMB only	1.78695869420386
anion transmembrane transport	GO:0098656	C. neoformans	AMB only	Up	0.000621554843299554	2.5487012987013	C. neoformans AMB only	2.5487012987013
anion transmembrane transport	GO:0098656	S. cerevisiae	AMB only	Up	2.48901505682853e-06	3.24895304285842	S. cerevisiae AMB only	3.24895304285842
anion transmembrane transport	GO:0098656	S. cerevisiae	AMB + LF	Up	4.04327367745659e-09	4.23999017440432	S. cerevisiae AMB + LF	4.23999017440432
anion transport	GO:0006820	C. neoformans	AMB only	Up	0.000319747964490808	2.14829571070594	C. neoformans AMB only	2.14829571070594
anion transport	GO:0006820	C. neoformans	AMB + LF	Up	0.0391255137625615	1.63790082355003	C. neoformans AMB + LF	1.63790082355003
anion transport	GO:0006820	S. cerevisiae	AMB only	Up	8.5200328758086e-08	2.66235362618878	S. cerevisiae AMB only	2.66235362618878
anion transport	GO:0006820	S. cerevisiae	AMB + LF	Up	7.60985438804202e-07	2.59547113470471	S. cerevisiae AMB + LF	2.59547113470471
antibiotic biosynthetic process	GO:0017000	C. neoformans	AMB only	Up	0.0482317889863446	4.375	C. neoformans AMB only	4.375
antibiotic catabolic process	GO:0017001	C. neoformans	AMB only	Up	0.000639653659202936	5.4255111976631	C. neoformans AMB only	5.4255111976631
antibiotic catabolic process	GO:0017001	C. neoformans	AMB + LF	Up	6.00215540576088e-06	8.48351648351648	C. neoformans AMB + LF	8.48351648351648
antibiotic metabolic process	GO:0016999	C. neoformans	AMB only	Up	1.65209393728738e-11	6.51562302340291	C. neoformans AMB only	6.51562302340291
antibiotic metabolic process	GO:0016999	C. neoformans	AMB + LF	Up	1.09224191411826e-12	7.35694396101636	C. neoformans AMB + LF	7.35694396101636
antibiotic metabolic process	GO:0016999	S. cerevisiae	AMB only	Up	0.004450715620398	2.66005089058524	S. cerevisiae AMB only	2.66005089058524
apoptotic process	GO:0006915	C. neoformans	AMB + LF	Up	0.0157805089859796	2.81465201465201	C. neoformans AMB + LF	2.81465201465201
arginine biosynthetic process	GO:0006526	S. cerevisiae	AMB only	Up	0.000602094005366314	11.0289186923722	S. cerevisiae AMB only	11.0289186923722
arginine biosynthetic process	GO:0006526	S. cerevisiae	AMB + LF	Up	2.19576082805932e-07	35.8315334773218	S. cerevisiae AMB + LF	35.8315334773218
arginine metabolic process	GO:0006525	S. cerevisiae	AMB only	Up	0.000599322157585051	7.57106872975891	S. cerevisiae AMB only	7.57106872975891
arginine metabolic process	GO:0006525	S. cerevisiae	AMB + LF	Up	2.60962870885048e-08	22.4593716143012	S. cerevisiae AMB + LF	22.4593716143012
aromatic amino acid family biosynthetic process	GO:0009073	C. neoformans	AMB + LF	Down	0.0353929414456722	5.715	C. neoformans AMB + LF	-5.715
aromatic amino acid family biosynthetic process	GO:0009073	S. cerevisiae	AMB only	Up	2.06464383887078e-06	10.7708985786557	S. cerevisiae AMB only	10.7708985786557
aromatic amino acid family biosynthetic process	GO:0009073	S. cerevisiae	AMB + LF	Up	2.51026175131368e-09	18.0195652173913	S. cerevisiae AMB + LF	18.0195652173913
aromatic amino acid family metabolic process	GO:0009072	S. cerevisiae	AMB only	Up	2.59863434970545e-06	6.01944167497507	S. cerevisiae AMB only	6.01944167497507
aromatic amino acid family metabolic process	GO:0009072	S. cerevisiae	AMB + LF	Up	1.05809118701812e-07	7.35735080058224	S. cerevisiae AMB + LF	7.35735080058224
aromatic amino acid transport	GO:0015801	S. cerevisiae	AMB only	Up	0.00970894203427494	7.04535564853556	S. cerevisiae AMB only	7.04535564853556
aromatic amino acid transport	GO:0015801	S. cerevisiae	AMB + LF	Up	0.00207002387415025	9.50881720430108	S. cerevisiae AMB + LF	9.50881720430108
aromatic compound biosynthetic process	GO:0019438	S. cerevisiae	AMB only	Down	9.95086237118564e-05	1.41660068619689	S. cerevisiae AMB only	-1.41660068619689
aromatic compound catabolic process	GO:0019439	S. cerevisiae	AMB only	Down	0.000390171888413325	1.87484737484737	S. cerevisiae AMB only	-1.87484737484737
Arp2/3 complex-mediated actin nucleation	GO:0034314	S. cerevisiae	AMB only	Up	0.0108765393229242	4.89708484679147	S. cerevisiae AMB only	4.89708484679147
ascospore formation	GO:0030437	S. cerevisiae	AMB only	Up	0.00351408626457995	2.1420546531211	S. cerevisiae AMB only	2.1420546531211
aspartate family amino acid biosynthetic process	GO:0009067	C. neoformans	AMB only	Up	0.0238780063701949	2.4485248607386	C. neoformans AMB only	2.4485248607386
aspartate family amino acid biosynthetic process	GO:0009067	S. cerevisiae	AMB only	Up	2.20215982493643e-07	5.36265984654731	S. cerevisiae AMB only	5.36265984654731
aspartate family amino acid biosynthetic process	GO:0009067	S. cerevisiae	AMB + LF	Up	1.77230358225042e-09	6.75611407294576	S. cerevisiae AMB + LF	6.75611407294576
aspartate family amino acid catabolic process	GO:0009068	C. neoformans	AMB only	Up	0.013932833229503	7.00526976160602	C. neoformans AMB only	7.00526976160602
aspartate family amino acid metabolic process	GO:0009066	C. neoformans	AMB only	Up	0.000534663154886895	3.06988700902732	C. neoformans AMB only	3.06988700902732
aspartate family amino acid metabolic process	GO:0009066	C. neoformans	AMB + LF	Up	0.0233927453086094	2.25604719764012	C. neoformans AMB + LF	2.25604719764012
aspartate family amino acid metabolic process	GO:0009066	S. cerevisiae	AMB only	Up	1.35071534060552e-05	3.4524846411074	S. cerevisiae AMB only	3.4524846411074
aspartate family amino acid metabolic process	GO:0009066	S. cerevisiae	AMB + LF	Up	1.14938587697083e-06	3.98871660137465	S. cerevisiae AMB + LF	3.98871660137465
aspartate transmembrane transport	GO:0015810	C. neoformans	AMB only	Up	0.0354814603210166	Inf	C. neoformans AMB only	Inf
assembly of large subunit precursor of preribosome	GO:1902626	S. cerevisiae	AMB only	Down	0.00150171914142946	15.4871794871795	S. cerevisiae AMB only	-15.4871794871795
ATP generation from ADP	GO:0006757	C. neoformans	AMB only	Up	0.0029434357353796	5.5249684741488	C. neoformans AMB only	5.5249684741488
ATP generation from ADP	GO:0006757	C. neoformans	AMB + LF	Up	0.00324607833733886	5.61863173216885	C. neoformans AMB + LF	5.61863173216885
ATP metabolic process	GO:0046034	C. neoformans	AMB only	Up	0.0483311777960379	1.96362768289242	C. neoformans AMB only	1.96362768289242
attachment of mitotic spindle microtubules to kinetochore	GO:0051315	C. neoformans	AMB only	Down	0.0347108147414537	12.1488372093023	C. neoformans AMB only	-12.1488372093023
attachment of mitotic spindle microtubules to kinetochore	GO:0051315	C. neoformans	AMB + LF	Down	0.000171432785785037	27.6603015075377	C. neoformans AMB + LF	-27.6603015075377
attachment of spindle microtubules to kinetochore	GO:0008608	C. neoformans	AMB + LF	Down	0.00058584928673257	9.77397809243922	C. neoformans AMB + LF	-9.77397809243922
attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation	GO:0051455	C. neoformans	AMB + LF	Down	0.0181247825536919	22.7178217821782	C. neoformans AMB + LF	-22.7178217821782
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation	GO:0051316	C. neoformans	AMB + LF	Down	0.00756129679319133	18.2567164179104	C. neoformans AMB + LF	-18.2567164179104
autophagy	GO:0006914	S. cerevisiae	AMB only	Up	0.0337290805790703	1.64550581696319	S. cerevisiae AMB only	1.64550581696319
autophagy of mitochondrion	GO:0000422	S. cerevisiae	AMB only	Up	0.000756101280575414	4.19560293137908	S. cerevisiae AMB only	4.19560293137908
bile acid and bile salt transport	GO:0015721	C. neoformans	AMB only	Up	0.0354814603210166	8.32290362953692	C. neoformans AMB only	8.32290362953692
bilirubin transport	GO:0015723	C. neoformans	AMB only	Up	0.0354814603210166	8.32290362953692	C. neoformans AMB only	8.32290362953692
biological regulation	GO:0065007	S. cerevisiae	AMB only	Down	0.0499280561458721	1.17876714273546	S. cerevisiae AMB only	-1.17876714273546
biological regulation	GO:0065007	S. cerevisiae	AMB + LF	Down	0.0056678050636315	1.27372817729964	S. cerevisiae AMB + LF	-1.27372817729964
biosynthetic process	GO:0009058	S. cerevisiae	AMB + LF	Up	3.61743923342086e-11	1.67383845440994	S. cerevisiae AMB + LF	1.67383845440994
box C/D snoRNA metabolic process	GO:0033967	S. cerevisiae	AMB only	Down	0.0161731105213214	6.19125188536953	S. cerevisiae AMB only	-6.19125188536953
box C/D snoRNA processing	GO:0034963	S. cerevisiae	AMB only	Down	0.0161731105213214	6.19125188536953	S. cerevisiae AMB only	-6.19125188536953
box C/D snoRNP assembly	GO:0000492	S. cerevisiae	AMB only	Down	0.0157087468139514	11.5978915662651	S. cerevisiae AMB only	-11.5978915662651
branched-chain amino acid biosynthetic process	GO:0009082	S. cerevisiae	AMB only	Up	0.000436935934928017	9.71174496644295	S. cerevisiae AMB only	9.71174496644295
branched-chain amino acid biosynthetic process	GO:0009082	S. cerevisiae	AMB + LF	Up	3.33491662083339e-05	13.1169363538296	S. cerevisiae AMB + LF	13.1169363538296
branched-chain amino acid metabolic process	GO:0009081	S. cerevisiae	AMB only	Up	0.00123548458098623	4.73755411255411	S. cerevisiae AMB only	4.73755411255411
branched-chain amino acid metabolic process	GO:0009081	S. cerevisiae	AMB + LF	Up	0.000348190175066108	5.57272727272727	S. cerevisiae AMB + LF	5.57272727272727
branched-chain amino acid transport	GO:0015803	S. cerevisiae	AMB only	Up	0.0488160755600507	Inf	S. cerevisiae AMB only	Inf
C4-dicarboxylate transport	GO:0015740	C. neoformans	AMB only	Up	0.0222988757959759	7.49812030075188	C. neoformans AMB only	7.49812030075188
calcium ion transport	GO:0006816	C. neoformans	AMB only	Up	0.0309914368881301	3.24426971292931	C. neoformans AMB only	3.24426971292931
carbamoyl phosphate biosynthetic process	GO:0070409	C. neoformans	AMB + LF	Down	0.0454170881784012	45.2315270935961	C. neoformans AMB + LF	-45.2315270935961
carbamoyl phosphate metabolic process	GO:0070408	C. neoformans	AMB + LF	Down	0.0454170881784012	45.2315270935961	C. neoformans AMB + LF	-45.2315270935961
carbohydrate biosynthetic process	GO:0016051	C. neoformans	AMB only	Up	0.00225944858695677	2.49504647348278	C. neoformans AMB only	2.49504647348278
carbohydrate biosynthetic process	GO:0016051	C. neoformans	AMB + LF	Up	0.00585623045990605	2.31125193138923	C. neoformans AMB + LF	2.31125193138923
carbohydrate biosynthetic process	GO:0016051	S. cerevisiae	AMB only	Up	3.60418998855567e-05	2.6542473411508	S. cerevisiae AMB only	2.6542473411508
carbohydrate catabolic process	GO:0016052	C. neoformans	AMB only	Up	6.0854626188448e-06	3.18020541549953	C. neoformans AMB only	3.18020541549953
carbohydrate catabolic process	GO:0016052	C. neoformans	AMB + LF	Up	0.000216694867270657	2.65027585837485	C. neoformans AMB + LF	2.65027585837485
carbohydrate derivative biosynthetic process	GO:1901137	S. cerevisiae	AMB only	Down	1.06016465400138e-05	1.99275945293644	S. cerevisiae AMB only	-1.99275945293644
carbohydrate derivative catabolic process	GO:1901136	C. neoformans	AMB only	Up	0.00053841113856866	4.748880262765	C. neoformans AMB only	4.748880262765
carbohydrate derivative catabolic process	GO:1901136	C. neoformans	AMB + LF	Up	0.00987283788801753	3.5149689667762	C. neoformans AMB + LF	3.5149689667762
carbohydrate derivative metabolic process	GO:1901135	C. neoformans	AMB only	Up	0.000736721441265574	1.74025056673201	C. neoformans AMB only	1.74025056673201
carbohydrate derivative metabolic process	GO:1901135	C. neoformans	AMB + LF	Up	0.00584338656654337	1.58742340154931	C. neoformans AMB + LF	1.58742340154931
carbohydrate derivative metabolic process	GO:1901135	S. cerevisiae	AMB only	Down	0.0144250788986278	1.44771367063783	S. cerevisiae AMB only	-1.44771367063783
carbohydrate metabolic process	GO:0005975	C. neoformans	AMB only	Up	8.25227589940184e-15	3.13916698220371	C. neoformans AMB only	3.13916698220371
carbohydrate metabolic process	GO:0005975	C. neoformans	AMB + LF	Up	6.28265212740827e-10	2.53622781253991	C. neoformans AMB + LF	2.53622781253991
carbohydrate metabolic process	GO:0005975	S. cerevisiae	AMB only	Up	0.00048810458685515	1.75763016157989	S. cerevisiae AMB only	1.75763016157989
carbon catabolite activation of transcription	GO:0045991	S. cerevisiae	AMB only	Up	0.0424700035720939	2.54516317016317	S. cerevisiae AMB only	2.54516317016317
carbon catabolite activation of transcription from RNA polymerase II promoter	GO:0000436	S. cerevisiae	AMB only	Up	0.0399294724035038	2.68460891505467	S. cerevisiae AMB only	2.68460891505467
carbon catabolite regulation of transcription	GO:0045990	S. cerevisiae	AMB only	Up	0.0151408926611396	2.52723101074749	S. cerevisiae AMB only	2.52723101074749
carbon catabolite regulation of transcription from RNA polymerase II promoter	GO:0000429	S. cerevisiae	AMB only	Up	0.0263146291683094	2.48496835443038	S. cerevisiae AMB only	2.48496835443038
carbon utilization	GO:0015976	C. neoformans	AMB only	Up	0.00460644428652252	5.02143757881463	C. neoformans AMB only	5.02143757881463
carbon utilization	GO:0015976	C. neoformans	AMB + LF	Up	0.0171065416431563	4.2071973827699	C. neoformans AMB + LF	4.2071973827699
carboxylic acid biosynthetic process	GO:0046394	C. neoformans	AMB only	Up	0.0001030263508897	2.11943319838057	C. neoformans AMB only	2.11943319838057
carboxylic acid biosynthetic process	GO:0046394	C. neoformans	AMB + LF	Down	0.0151743062775493	2.41185347784333	C. neoformans AMB + LF	-2.41185347784333
carboxylic acid biosynthetic process	GO:0046394	C. neoformans	AMB + LF	Up	0.00913315815935078	1.71547344110855	C. neoformans AMB + LF	1.71547344110855
carboxylic acid biosynthetic process	GO:0046394	S. cerevisiae	AMB only	Up	7.71811129605392e-16	3.4841164213215	S. cerevisiae AMB only	3.4841164213215
carboxylic acid biosynthetic process	GO:0046394	S. cerevisiae	AMB + LF	Up	2.11416716349394e-18	3.99150755200912	S. cerevisiae AMB + LF	3.99150755200912
carboxylic acid catabolic process	GO:0046395	C. neoformans	AMB only	Up	6.9163126562391e-10	4.07099635278515	C. neoformans AMB only	4.07099635278515
carboxylic acid catabolic process	GO:0046395	C. neoformans	AMB + LF	Up	3.98828127309369e-07	3.26237857705434	C. neoformans AMB + LF	3.26237857705434
carboxylic acid catabolic process	GO:0046395	S. cerevisiae	AMB only	Up	0.0434358287524899	1.86087450312323	S. cerevisiae AMB only	1.86087450312323
carboxylic acid metabolic process	GO:0019752	C. neoformans	AMB only	Up	1.57499794705229e-12	2.51754819574889	C. neoformans AMB only	2.51754819574889
carboxylic acid metabolic process	GO:0019752	C. neoformans	AMB + LF	Up	2.21584141700607e-07	2.00303163406799	C. neoformans AMB + LF	2.00303163406799
carboxylic acid metabolic process	GO:0019752	S. cerevisiae	AMB only	Up	1.38556312986315e-13	2.43668487782089	S. cerevisiae AMB only	2.43668487782089
carboxylic acid metabolic process	GO:0019752	S. cerevisiae	AMB + LF	Up	4.47870893946022e-21	3.16292191435768	S. cerevisiae AMB + LF	3.16292191435768
carboxylic acid transmembrane transport	GO:1905039	S. cerevisiae	AMB only	Up	2.2672744143469e-05	3.80190900891873	S. cerevisiae AMB only	3.80190900891873
carboxylic acid transmembrane transport	GO:1905039	S. cerevisiae	AMB + LF	Up	3.3816625996689e-09	5.87444873208379	S. cerevisiae AMB + LF	5.87444873208379
carboxylic acid transport	GO:0046942	C. neoformans	AMB only	Up	0.00822008214454756	2.27779922779923	C. neoformans AMB only	2.27779922779923
carboxylic acid transport	GO:0046942	S. cerevisiae	AMB only	Up	6.92794678067215e-07	3.49229591348454	S. cerevisiae AMB only	3.49229591348454
carboxylic acid transport	GO:0046942	S. cerevisiae	AMB + LF	Up	1.42165064214209e-08	4.16691060242375	S. cerevisiae AMB + LF	4.16691060242375
